dataset,depth,cost_complexity,time,train_mse,leaves,terminal_calls,timeout
optical.csv,2,0.0001,0.274,40147.40647755875,3,0,30
optical.csv,2,0.0002,0.282,40147.40647755875,3,0,30
optical.csv,2,0.0005,0.264,40147.40647755875,3,0,30
optical.csv,2,0.001,0.24,40147.40647755875,3,0,30
optical.csv,2,0.002,0.239,40147.40647755875,3,0,30
optical.csv,2,0.003,0.229,40147.40647755875,3,0,30
optical.csv,2,0.004,0.24,40147.40647755875,3,0,30
optical.csv,2,0.005,0.214,40147.40647755875,3,0,30
optical.csv,2,0.006,0.257,40147.40647755875,3,0,30
optical.csv,2,0.007,0.225,40147.40647755875,3,0,30
optical.csv,2,0.008,0.206,40147.40647755875,3,0,30
optical.csv,2,0.009000000000000001,0.253,40147.40647755875,3,0,30
optical.csv,2,0.01,0.235,40147.40647755875,3,0,30
optical.csv,2,0.035,0.219,40147.40647755875,3,0,30
optical.csv,2,0.060000000000000005,0.193,40147.40647755875,3,0,30
optical.csv,2,0.085,-2,-1,-1,-1,30
optical.csv,2,0.1,-2,-1,-1,-1,30
optical.csv,2,0.2,-2,-1,-1,-1,30
optical.csv,2,0.5,-2,-1,-1,-1,30
optical.csv,3,0.0001,1.338,29640.744942377358,4,0,30
optical.csv,3,0.0002,1.291,29640.744942377358,4,0,30
optical.csv,3,0.0005,1.283,29640.744942377358,4,0,30
optical.csv,3,0.001,1.179,29640.744942377358,4,0,30
optical.csv,3,0.002,1.099,29640.744942377358,4,0,30
optical.csv,3,0.003,1.091,29640.744942377358,4,0,30
optical.csv,3,0.004,1.086,29640.744942377358,4,0,30
optical.csv,3,0.005,1.02,29640.744942377358,4,0,30
optical.csv,3,0.006,1.027,29640.744942377358,4,0,30
optical.csv,3,0.007,1.025,29640.744942377358,4,0,30
optical.csv,3,0.008,0.965,29640.744942377358,4,0,30
optical.csv,3,0.009000000000000001,0.978,29640.744942377358,4,0,30
optical.csv,3,0.01,0.97,29640.744942377358,4,0,30
optical.csv,3,0.035,0.91,29640.744942377358,4,0,30
optical.csv,3,0.060000000000000005,0.86,29640.744942377358,4,0,30
optical.csv,3,0.085,0.831,29640.744942377358,4,0,30
optical.csv,3,0.1,0.872,29640.744942377358,4,0,30
optical.csv,3,0.2,-2,-1,-1,-1,30
optical.csv,3,0.5,-2,-1,-1,-1,30
optical.csv,4,0.0001,6.926,8628.61054811311,5,0,30
optical.csv,4,0.0002,6.829,8628.61054811311,5,0,30
optical.csv,4,0.0005,6.663,8628.61054811311,5,0,30
optical.csv,4,0.001,6.19,8628.61054811311,5,0,30
optical.csv,4,0.002,5.898,8628.61054811311,5,0,30
optical.csv,4,0.003,5.845,8628.61054811311,5,0,30
optical.csv,4,0.004,5.635,8628.61054811311,5,0,30
optical.csv,4,0.005,5.568,8628.61054811311,5,0,30
optical.csv,4,0.006,5.421,8628.61054811311,5,0,30
optical.csv,4,0.007,5.433,8628.61054811311,5,0,30
optical.csv,4,0.008,5.388,8628.61054811311,5,0,30
optical.csv,4,0.009000000000000001,5.432,8628.61054811311,5,0,30
optical.csv,4,0.01,5.421,8628.61054811311,5,0,30
optical.csv,4,0.035,4.928,8628.61054811311,5,0,30
optical.csv,4,0.060000000000000005,4.938,8628.61054811311,5,0,30
optical.csv,4,0.085,4.586,8628.61054811311,5,0,30
optical.csv,4,0.1,4.528,8628.61054811311,5,0,30
optical.csv,4,0.2,-2,-1,-1,-1,30
optical.csv,4,0.5,-2,-1,-1,-1,30
optical.csv,5,0.0001,31,-1,-1,-1,30
optical.csv,5,0.0002,31,-1,-1,-1,30
optical.csv,5,0.0005,31,-1,-1,-1,30
optical.csv,5,0.001,31,-1,-1,-1,30
optical.csv,5,0.002,31,-1,-1,-1,30
optical.csv,5,0.003,31,-1,-1,-1,30
optical.csv,5,0.004,31,-1,-1,-1,30
optical.csv,5,0.005,31,-1,-1,-1,30
optical.csv,5,0.006,31,-1,-1,-1,30
optical.csv,5,0.007,31,-1,-1,-1,30
optical.csv,5,0.008,31,-1,-1,-1,30
optical.csv,5,0.009000000000000001,31,-1,-1,-1,30
optical.csv,5,0.01,31,-1,-1,-1,30
optical.csv,5,0.035,28.486,2045.1415910776263,6,0,30
optical.csv,5,0.060000000000000005,27.019,2045.1415833649341,6,0,30
optical.csv,5,0.085,25.414,2045.1415910776263,6,0,30
optical.csv,5,0.1,24.791,2045.1415910776263,6,0,30
optical.csv,5,0.2,-2,-1,-1,-1,30
optical.csv,5,0.5,-2,-1,-1,-1,30
optical.csv,6,0.0001,31,-1,-1,-1,30
optical.csv,6,0.0002,31,-1,-1,-1,30
optical.csv,6,0.0005,31,-1,-1,-1,30
optical.csv,6,0.001,31,-1,-1,-1,30
optical.csv,6,0.002,31,-1,-1,-1,30
optical.csv,6,0.003,31,-1,-1,-1,30
optical.csv,6,0.004,31,-1,-1,-1,30
optical.csv,6,0.005,31,-1,-1,-1,30
optical.csv,6,0.006,31,-1,-1,-1,30
optical.csv,6,0.007,31,-1,-1,-1,30
optical.csv,6,0.008,31,-1,-1,-1,30
optical.csv,6,0.009000000000000001,31,-1,-1,-1,30
optical.csv,6,0.01,31,-1,-1,-1,30
optical.csv,6,0.035,31,-1,-1,-1,30
optical.csv,6,0.060000000000000005,31,-1,-1,-1,30
optical.csv,6,0.085,31,-1,-1,-1,30
optical.csv,6,0.1,31,-1,-1,-1,30
optical.csv,6,0.2,-2,-1,-1,-1,30
optical.csv,6,0.5,-2,-1,-1,-1,30
optical.csv,7,0.0001,31,-1,-1,-1,30
optical.csv,7,0.0002,31,-1,-1,-1,30
optical.csv,7,0.0005,31,-1,-1,-1,30
optical.csv,7,0.001,31,-1,-1,-1,30
optical.csv,7,0.002,31,-1,-1,-1,30
optical.csv,7,0.003,31,-1,-1,-1,30
optical.csv,7,0.004,31,-1,-1,-1,30
optical.csv,7,0.005,31,-1,-1,-1,30
optical.csv,7,0.006,31,-1,-1,-1,30
optical.csv,7,0.007,31,-1,-1,-1,30
optical.csv,7,0.008,31,-1,-1,-1,30
optical.csv,7,0.009000000000000001,31,-1,-1,-1,30
optical.csv,7,0.01,31,-1,-1,-1,30
optical.csv,7,0.035,31,-1,-1,-1,30
optical.csv,7,0.060000000000000005,31,-1,-1,-1,30
optical.csv,7,0.085,31,-1,-1,-1,30
optical.csv,7,0.1,31,-1,-1,-1,30
optical.csv,7,0.2,-2,-1,-1,-1,30
optical.csv,7,0.5,-2,-1,-1,-1,30
optical.csv,8,0.0001,31,-1,-1,-1,30
optical.csv,8,0.0002,31,-1,-1,-1,30
optical.csv,8,0.0005,31,-1,-1,-1,30
optical.csv,8,0.001,31,-1,-1,-1,30
optical.csv,8,0.002,31,-1,-1,-1,30
optical.csv,8,0.003,31,-1,-1,-1,30
optical.csv,8,0.004,31,-1,-1,-1,30
optical.csv,8,0.005,31,-1,-1,-1,30
optical.csv,8,0.006,31,-1,-1,-1,30
optical.csv,8,0.007,31,-1,-1,-1,30
optical.csv,8,0.008,31,-1,-1,-1,30
optical.csv,8,0.009000000000000001,31,-1,-1,-1,30
optical.csv,8,0.01,31,-1,-1,-1,30
optical.csv,8,0.035,31,-1,-1,-1,30
optical.csv,8,0.060000000000000005,31,-1,-1,-1,30
optical.csv,8,0.085,31,-1,-1,-1,30
optical.csv,8,0.1,31,-1,-1,-1,30
optical.csv,8,0.2,-2,-1,-1,-1,30
optical.csv,8,0.5,-2,-1,-1,-1,30
optical.csv,9,0.0001,31,-1,-1,-1,30
optical.csv,9,0.0002,31,-1,-1,-1,30
optical.csv,9,0.0005,31,-1,-1,-1,30
optical.csv,9,0.001,31,-1,-1,-1,30
optical.csv,9,0.002,31,-1,-1,-1,30
optical.csv,9,0.003,31,-1,-1,-1,30
optical.csv,9,0.004,31,-1,-1,-1,30
optical.csv,9,0.005,31,-1,-1,-1,30
optical.csv,9,0.006,31,-1,-1,-1,30
optical.csv,9,0.007,31,-1,-1,-1,30
optical.csv,9,0.008,31,-1,-1,-1,30
optical.csv,9,0.009000000000000001,31,-1,-1,-1,30
optical.csv,9,0.01,31,-1,-1,-1,30
optical.csv,9,0.035,31,-1,-1,-1,30
optical.csv,9,0.060000000000000005,31,-1,-1,-1,30
optical.csv,9,0.085,31,-1,-1,-1,30
optical.csv,9,0.1,31,-1,-1,-1,30
optical.csv,9,0.2,-2,-1,-1,-1,30
optical.csv,9,0.5,-2,-1,-1,-1,30
optical.csv,10,0.0001,31,-1,-1,-1,30
optical.csv,10,0.0002,31,-1,-1,-1,30
optical.csv,10,0.0005,31,-1,-1,-1,30
optical.csv,10,0.001,31,-1,-1,-1,30
optical.csv,10,0.002,31,-1,-1,-1,30
optical.csv,10,0.003,31,-1,-1,-1,30
optical.csv,10,0.004,31,-1,-1,-1,30
optical.csv,10,0.005,31,-1,-1,-1,30
optical.csv,10,0.006,31,-1,-1,-1,30
optical.csv,10,0.007,31,-1,-1,-1,30
optical.csv,10,0.008,31,-1,-1,-1,30
optical.csv,10,0.009000000000000001,31,-1,-1,-1,30
optical.csv,10,0.01,31,-1,-1,-1,30
optical.csv,10,0.035,31,-1,-1,-1,30
optical.csv,10,0.060000000000000005,31,-1,-1,-1,30
optical.csv,10,0.085,31,-1,-1,-1,30
optical.csv,10,0.1,31,-1,-1,-1,30
optical.csv,10,0.2,-2,-1,-1,-1,30
optical.csv,10,0.5,-2,-1,-1,-1,30
